#### Message Strings for the Nuclear Detente scenario ####


#### Button text

ND_BUTTON_OK 	"OK"
ND_LOSE_NUCLEAR_WAR_A	"Während Ihr die gelben Punkte auf dem Radarschirm beobachtet, überlegt Ihr, wer wohl zuerst losgeschlagen hat. Nach einem erbitterten Kriegsjahr ist es kaum verwunderlich, dass schließlich einer der vielen Befehlsberechtigten den Drücker betätigt hat - und es wäre müßig, jetzt noch Schuldzuweisungen machen zu wollen."
ND_LOSE_NUCLEAR_WAR_B	"Ein Soldat tippt Euch am Arm an: 'Sir, wir müssen los'. Er begleitet Euch zum Aufzug, der in den unterirdischen Bunker führt. Während sich die Türen schließen, murmelt er: 'Ich frage mich, wann wir wohl das Tageslicht wiedersehen werden'. Von Schuld und Verzweiflung überwältigt antwortet Ihr: 'Viel eher als die armen Seelen, die jetzt noch oben sind ...'"
ND_DEFUSER_WARNING		"Die {player[1].civ_name_plural} haben in {city[0].name} mit der Errichtung des Nanitenentschärfers begonnen. Dieses Weltwunder ist in der Lage, unser gesamtes nukleares Waffenarsenal unschädlich zu machen, wodurch das Gleichgewicht der Weltmächte in eine enorme Schieflage geraten würde. Wir müssen sie aufhalten!"
ND_LOSE_DEFUSER			"Die {player[1].civ_name_plural} haben ihren Nanitenentschärfer in Betrieb genommen. Unsere Nuklearwaffen haben damit nur noch Schrottwert."
ND_WIN_DEFUSER			"Sie haben den Nanitenentschärfer fertig gestellt. Innerhalb weniger Augenblicke werden damit alle nuklearen Waffen auf dem gesamten Planeten unbrauchbar."
ND_LAUNCH_CODE_1		"Wir haben es geschafft, den Abschusscode eines der feindlichen Atom-U-Boote abzufangen. Wenn wir die Codes aller acht U-Boote herauskriegen würden, könnten wir sie alle gleichzeitig aktivieren und so der nuklearen Bedrohung ein endgültiges Ende bereiten. Aber wir müssen uns beeilen: In {codeCounter} Monat{action[0].text} werden neue Codes eingestellt."
ND_LAUNCH_CODE_2		"Wir kennen jetzt {spyCitySum} der 8 Abschusscodes. Diese Codes werden jedoch in {codeCounter} Monat{action[0].text} gewechselt."
ND_LAUNCH_CODE_TURNS	"en"
ND_LAUNCH_CODE_TURNS2	""
ND_LAUNCH_CODE_RESET	"Es wurden neue Abschusscodes festgelegt. Unsere Spione werden wieder von vorn anfangen müssen."
ND_WIN_LAUNCH_CODE		"Mit Hilfe der Abschusscodes wurden sämtliche feindlichen Nuklearraketen zu Kleinholz verarbeitet. Während Eure nuklearen Waffen unverändert auf die Städte der Vendikari zielen, fordern Ihr ihre sofortige und bedingungslose Kapitulation ... die auch nicht lange auf sich warten lässt!"
ND_NUCLEAR_SUB_WARNING	"Die Vernichtung des Atom-U-Bootes der Vendikari würde aller Wahrscheinlichkeit nach einen nuklearen Gegenschlag provozieren! Wollt Ihr das Atom-U-Boot wirklich angreifen?"
ND_NUCLEAR_SUB_DESTROY	"Euer wagemutiger Angriff auf das Atom-U-Boot hat die Vendikari für eine Weile unachtsam gemacht, doch unser Geheimdienst konnte in Erfahrung bringen, dass sie bereits einen nuklearen Vergeltungsschlag planen. Solltet Iher es nicht schaffen, die übrigen feindlichen Atom-U-Boote umgehend zu zerstören, ist die Welt dem Untergang geweiht!"
ND_WIN_NUCLEAR_SUB		"Eure brillant koordinierte Offensive hat der nuklearen Bedrohung durch die Vendikari ein Ende gesetzt. Während Eure nuklearen Waffen weiterhin auf die Städte der Vendikari zielen, fordern Ihr ihre sofortige und bedingungslose Kapitulation ... die auch nicht lange auf sich warten lässt!"
ND_WIN_DIPLOMACY		"Dank Eures cleveren politischen Taktierens wurde die nukleare Bedrohung durch die Vendikari beendet. Nun könnt Ihr Eure eigenen Nuklearwaffen bedenkenlos vernichten und damit den Weg für dauerhaften Frieden ebnen."
ND_LOSE_STUPIDITY		"Ihr hättet nicht auch noch unsere letzten Nuklearwaffen Vernichten sollen. Jetzt sind wir der Gnade der Vendikari ausgeliefert!"
ND_TEMP					"Atom-U-Bootes = {nukeCount}"
ND_TEMP2				"Auch angekommen"

